"filename", "language", "JSON", "PHP", "XML", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\ReserveSeeder.php", "PHP", 0, 31, 0, 0, 0, 0, 3, 5, 39
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\SoftwareLabSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 4, 19
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\SoftwareSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 4, 19
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\SubjectSeeder.php", "PHP", 0, 36, 0, 0, 0, 0, 3, 5, 44
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\UserSeeder.php", "PHP", 0, 58, 0, 0, 0, 0, 3, 5, 66
"d:\Code\PAD\SI-Lab-TRPL\package-lock.json", "JSON", 1766, 0, 0, 0, 0, 0, 0, 1, 1767
"d:\Code\PAD\SI-Lab-TRPL\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Code\PAD\SI-Lab-TRPL\phpunit.xml", "XML", 0, 0, 29, 0, 0, 0, 2, 1, 32
"d:\Code\PAD\SI-Lab-TRPL\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Code\PAD\SI-Lab-TRPL\public\assets\css\grid.css", "PostCSS", 0, 0, 0, 39, 0, 0, 4, 7, 50
"d:\Code\PAD\SI-Lab-TRPL\public\assets\css\navbar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PAD\SI-Lab-TRPL\public\assets\css\slider.css", "PostCSS", 0, 0, 0, 65, 0, 0, 0, 9, 74
"d:\Code\PAD\SI-Lab-TRPL\public\assets\css\style.css", "PostCSS", 0, 0, 0, 25, 0, 0, 3, 5, 33
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\asisten.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\beranda.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\inventaris.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\jadwal.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\logout.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\peminjaman.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\profile.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\proyek.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\PAD\SI-Lab-TRPL\public\assets\img\page\about\penguin.svg", "XML", 0, 0, 34, 0, 0, 0, 1, 0, 35
"d:\Code\PAD\SI-Lab-TRPL\public\assets\js\notif.js", "JavaScript", 0, 0, 0, 0, 6, 0, 1, 0, 7
"d:\Code\PAD\SI-Lab-TRPL\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 30, 12, 56
"d:\Code\PAD\SI-Lab-TRPL\resources\css\app.css", "PostCSS", 0, 0, 0, 16, 0, 0, 3, 5, 24
"d:\Code\PAD\SI-Lab-TRPL\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 3, 6
"d:\Code\PAD\SI-Lab-TRPL\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3, 0, 23, 7, 33
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\create.blade.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\index.blade.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 20, 89
"d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\show.blade.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 8, 45
